time	playerXPos	playerZPos	playerAngle	door1Angle	door2Angle	door3Angle	printTimeEntered	printTimeExited	AngleDifference	TimeUntilHit
10.63	0	-2	90.0000010505524	87.24434	207.2443	327.2443	0	exit undefined	117.244337938705	5.32928808812297
10.74	0	-2	90.0000010505524	84.93542	204.9354	324.9354	0	exit undefined	114.935423754135	5.22433744336978
10.84	0	-2	90.0000010505524	82.64242	202.6424	322.6424	0	exit undefined	112.642416857162	5.12010985714375
10.95	0	-2	90.0000010505524	80.31772	200.3177	320.3177	0	exit undefined	110.317717455307	5.01444170251395
11.05	0	-2	90.0000010505524	77.98982	197.9898	317.9898	0	exit undefined	107.989821337143	4.9086282425974
11.16	0	-2	90.0000010505524	75.67197	195.672	315.672	0	exit undefined	105.671965502182	4.80327115919009
11.26	0	-2	90.0000010505524	73.37036	193.3704	313.3704	0	exit undefined	103.370360277573	4.69865273988966
11.36	0	-2	90.0000010505524	71.08132	191.0813	311.0813	0	exit undefined	101.081320665756	4.5946054848071
11.47	0	-2	90.0000010505524	68.75628	188.7563	308.7563	0	exit undefined	98.7562779411468	4.48892172459758
11.58	0	-2	90.0000010505524	66.42212	186.4221	306.4221	0	exit undefined	96.4221180900726	4.38282354954875
11.68	0	-2	90.0000010505524	64.11432	184.1143	304.1143	0	exit undefined	94.1143177971038	4.27792353623199
11.78	0	-2	90.0000010505524	61.90434	181.9043	301.9044	0	exit undefined	91.9043416008147	4.17747007276431
11.89	0	-2	90.0000010505524	59.60198	179.602	299.602	0	exit undefined	89.6019772514495	4.07281714779316
11.99	0	-2	90.0000010505524	57.23578	177.2358	297.2358	0	exit undefined	87.2357815727386	3.96526279876084
12.1	-0.02050927	-1.859371	90.6319602737877	54.85805	174.858	294.858	0	exit undefined	84.2260910262611	3.82845868301187
12.22	-0.02063132	-1.86129	90.6350653664378	52.22482	172.2248	292.2248	0	exit undefined	81.5897576316091	3.70862534689132
12.35	-0.02480105	-1.864854	90.7619436111586	49.38391	169.3839	289.3839	0	exit undefined	78.6219675216539	3.57372579643881
12.46	-0.02500568	-1.865159	90.7681041041132	47.05021	167.0502	287.0502	0	exit undefined	76.2821087559942	3.46736857981792
12.57	-0.02560204	-1.867012	90.7856395222084	44.60802	164.608	284.608	0	exit undefined	73.8223774455651	3.35556261116205
12.68	-0.02278432	-1.861207	90.701363341924	42.04523	162.0452	282.0452	0	exit undefined	71.3438713382518	3.24290324264781
12.79	-0.02193649	-1.858807	90.6761392976218	39.71289	159.7129	279.7129	0	exit undefined	69.0367551420755	3.1380343246398
12.89	-0.01989605	-1.855025	90.6145028486042	37.46755	157.4675	277.4675	0	exit undefined	66.8530455217572	3.03877479644351
13	-0.01373823	-1.858144	90.4236108846639	35.05428	155.0543	275.0543	0	exit undefined	64.6306646280315	2.93775748309234
13.11	-0.01212764	-1.860146	90.3735484829078	32.64713	152.6471	272.6471	0	exit undefined	62.2735767612328	2.83061712551058
13.22	-0.01590717	-1.858241	90.4904603893501	30.16589	150.1659	270.1659	0	exit undefined	59.6754255359429	2.71251934254286
13.34	-0.01394852	-1.859818	90.4297076864436	27.72103	147.721	267.721	0	exit undefined	57.2913235025212	2.60415106829642
13.45	0.5739838	-1.528635	69.4194539134595	25.27456	145.2746	265.2746	0	exit undefined	75.8551089222338	3.44795949646517
13.56	-0.06676594	-2.024606	91.8887743888154	22.77484	142.7748	262.7748	0	13.56059	50.8860669197783	2.31300304180811
13.67	-0.06601385	-2.015533	91.8759133106053	20.35322	140.3532	260.3532	0	13.56059	48.4773085827053	2.2035140264866
13.78	-0.06604988	-2.003257	91.8884306764948	17.87023	137.8702	257.8702	0	13.56059	45.9817990445745	2.09008177475339
13.9	-0.06995083	-1.987168	92.016052906716	15.41208	135.4121	255.4121	13.89527	exit undefined	43.3960316727518	1.97254689421599
14.01	-0.07722995	-1.968041	92.2472511659591	12.95984	132.9598	252.9598	13.89527	exit undefined	40.7125896085771	1.85057225493532
14.12	-0.08355257	-1.952507	92.4503332090898	10.50234	130.5023	250.5023	13.89527	exit undefined	38.0520071076827	1.72963668671285
14.23	-0.08983164	-1.941174	92.6495854784992	8.042074	128.0421	248.0421	13.89527	exit undefined	35.392488724992	1.60874948749964
14.34	-0.09617192	-1.931417	92.8506009148827	5.559968	125.56	245.56	13.89527	exit undefined	32.7093675566443	1.48678943439292
14.45	-0.1006007	-1.925552	92.9907065467774	3.132463	123.1325	243.1325	13.89527	exit undefined	30.1417561931671	1.37007982696214
14.57	-0.1040332	-1.923441	93.0959409837966	0.6051244	120.6051	240.6051	13.89527	exit undefined	27.5091834301705	1.25041742864412
14.68	-0.1040937	-1.923496	93.097649124716	358.2293	118.2293	238.2293	13.89527	exit undefined	25.1316599573153	1.14234817987797
14.78	-0.1035647	-1.924766	93.0799099487935	355.8446	115.8446	235.8446	13.89527	exit undefined	22.7647250609721	1.03476023004419
14.9	-0.1034412	-1.927241	93.0723023800768	353.39	113.39	233.39	13.89527	exit undefined	20.3177122683607	0.923532375834578
15.01	-0.1069037	-1.929084	93.1719071386451	350.9358	110.9358	230.9358	13.89527	exit undefined	17.7638533594018	0.807447879972807
15.12	-0.1133589	-1.933679	93.3550345203867	348.4886	108.4886	228.4886	13.89527	exit undefined	15.1335213878164	0.687887335809837
15.23	-0.1248663	-1.935373	93.6914917641415	346.0042	106.0042	226.0042	13.89527	exit undefined	12.3126891440616	0.559667688366437
15.34	-0.137954	-1.939214	94.0691193361253	343.5721	103.5721	223.5721	13.89527	exit undefined	9.50296318340597	0.431952871972999
15.45	-0.1572111	-1.936042	94.6423670856316	341.1209	101.1209	221.1209	13.89527	exit undefined	6.47851304132155	0.294477865514616
